marker,chrom,pos
rh_chr1_4445423,chr01,4406530
rh_chr1_4517681,chr01,4478494
rh_chr1_4613003,chr01,4573746
rh_chr1_4681418,chr01,4642062
rh_chr1_4913189,chr01,4876662
rh_chr1_5045973,chr01,5009666
rh_chr1_5191317,chr01,5154704
rh_chr1_5368350,chr01,5331614
rh_chr1_547952,chr01,544389
rh_chr1_5610096,chr01,5561220
rh_chr1_5702431,chr01,5653744
rh_chr1_5782424,chr01,5735962
rh_chr1_5860561,chr01,5812966
rh_chr1_5940848,chr01,5893372
rh_chr1_6034925,chr01,5993486
rh_chr1_6215954,chr01,6174728
rh_chr1_631086,chr01,627268
rh_chr1_6320667,chr01,6280109
rh_chr1_6615924,chr01,6574739
rh_chr1_6763976,chr01,6722740
rh_chr1_6875844,chr01,6834696
rh_chr1_6966756,chr01,6925534
rh_chr1_7092210,chr01,7047050
rh_chr1_7243488,chr01,7198194
rh_chr1_7377641,chr01,7330298
rh_chr1_741516,chr01,737678
rh_chr1_7478412,chr01,7430958
rh_chr1_7567870,chr01,7520458
rh_chr1_7643877,chr01,7595780
rh_chr1_7710739,chr01,7663597
rh_chr1_8017533,chr01,7969722
rh_chr1_8217621,chr01,8171368
rh_chr1_8371555,chr01,8323772
rh_chr1_8477332,chr01,8429585
rh_chr1_9063579,chr01,9014776
rh_chr1_9183554,chr01,9134182
rh_chr1_9254255,chr01,9204786
rh_chr1_9320212,chr01,9270836
rh_chr1_93619,chr01,89866
rh_chr1_9388753,chr01,9339350
rh_chr1_9696161,chr01,9641596
rh_chr1_9762687,chr01,9708107
rh_chr1_9997807,chr01,9943323
rh_chr10_1013557,chr10,1116975
rh_chr10_10237641,chr10,11740817
rh_chr10_10334806,chr10,11837921
rh_chr10_10475020,chr10,11978043
rh_chr10_10547760,chr10,12050864
rh_chr10_10653854,chr10,12153359
rh_chr10_10923726,chr10,12423262
rh_chr10_1111687,chr10,1205426
rh_chr10_11157943,chr10,12657419
rh_chr10_11300534,chr10,12793824
rh_chr10_11353255,chr10,12848017
rh_chr10_11408804,chr10,12903573
rh_chr10_11485987,chr10,12980630
rh_chr10_11643043,chr10,13136105
rh_chr10_1174215,chr10,1264215
rh_chr10_11863766,chr10,13461044
rh_chr10_11919133,chr10,13405680
rh_chr10_12409898,chr10,13922179
rh_chr10_12464008,chr10,13964310
rh_chr10_12605914,chr10,14105956
rh_chr10_1265993,chr10,1365550
rh_chr10_13394270,chr10,14871413
rh_chr10_14200734,chr10,15668196
rh_chr10_1430660,chr10,1306622
rh_chr10_14341231,chr10,15807887
rh_chr10_15341739,chr10,16811012
rh_chr10_15601492,chr10,17067969
rh_chr10_15747189,chr10,17213494
rh_chr10_16851267,chr10,18786576
rh_chr10_16979798,chr10,18914728
rh_chr10_17170708,chr10,19103320
rh_chr10_17335086,chr10,19233799
rh_chr10_19292145,chr10,23244060
rh_chr10_19677254,chr10,23628936
rh_chr10_19925824,chr10,23877364
rh_chr10_20484984,chr10,24435202
rh_chr10_20553231,chr10,24503634
rh_chr10_21059800,chr10,25017402
rh_chr10_21760871,chr10,25754304
rh_chr10_23054800,chr10,27032458
rh_chr10_23315732,chr10,27293627
rh_chr10_23440244,chr10,27418658
rh_chr10_241961,chr10,385036
rh_chr10_2469486,chr10,2575832
rh_chr10_2600993,chr10,2706543
rh_chr10_2803328,chr10,3037776
rh_chr10_2983812,chr10,3283370
rh_chr10_3426575,chr10,4948395
rh_chr10_3540296,chr10,4837361
rh_chr10_3690372,chr10,5028336
rh_chr10_370298,chr10,511288
rh_chr10_4005129,chr10,5224480
rh_chr10_4207807,chr10,5993651
rh_chr10_423938,chr10,564919
rh_chr10_4427721,chr10,5890278
rh_chr10_4503995,chr10,5593144
rh_chr10_4623373,chr10,5916411
rh_chr10_4847719,chr10,6407096
rh_chr10_4950540,chr10,6504338
rh_chr10_5055530,chr10,6609360
rh_chr10_508428,chr10,648530
rh_chr10_5150628,chr10,6704372
rh_chr10_5247875,chr10,6800041
rh_chr10_5381836,chr10,6933556
rh_chr10_5443410,chr10,6995292
rh_chr10_5618563,chr10,7165732
rh_chr10_5930341,chr10,7480192
rh_chr10_6030347,chr10,7572016
rh_chr10_6111686,chr10,7653340
rh_chr10_6200947,chr10,7742664
rh_chr10_6333960,chr10,7876348
rh_chr10_6407241,chr10,7948750
rh_chr10_650959,chr10,787921
rh_chr10_6523776,chr10,8065202
rh_chr10_6654857,chr10,8190025
rh_chr10_6732153,chr10,8263236
rh_chr10_7345058,chr10,8862100
rh_chr10_7398537,chr10,8915026
rh_chr10_7537254,chr10,9050272
rh_chr10_7930703,chr10,9443420
rh_chr10_8038057,chr10,9556577
rh_chr10_8299491,chr10,9818221
rh_chr10_8422060,chr10,9940493
rh_chr10_8528547,chr10,10046891
rh_chr10_8618080,chr10,10136284
rh_chr10_874103,chr10,997878
rh_chr10_8787351,chr10,10303941
rh_chr10_8893209,chr10,10409884
rh_chr10_9014261,chr10,10531199
rh_chr10_9215683,chr10,10729781
rh_chr10_939355,chr10,1047205
rh_chr10_9467495,chr10,10983929
rh_chr10_9745840,chr10,11262230
rh_chr11_10089836,chr11,9946206
rh_chr11_1025585,chr11,1025591
rh_chr11_1117973,chr11,1117992
rh_chr11_1183569,chr11,1183218
rh_chr11_12164303,chr11,11995643
rh_chr11_12314680,chr11,12145482
rh_chr11_13254270,chr11,13092463
rh_chr11_13356997,chr11,13193742
rh_chr11_1343142,chr11,1342116
rh_chr11_14358918,chr11,14321590
rh_chr11_1442687,chr11,1441656
rh_chr11_14828475,chr11,14790986
rh_chr11_15149608,chr11,15111176
rh_chr11_15913394,chr11,15870868
rh_chr11_16272381,chr11,16226106
rh_chr11_1672438,chr11,1671330
rh_chr11_16886199,chr11,16838448
rh_chr11_16949037,chr11,16901338
rh_chr11_17060668,chr11,17015496
rh_chr11_17184199,chr11,17138106
rh_chr11_17337960,chr11,17289684
rh_chr11_17457569,chr11,17409122
rh_chr11_17611360,chr11,17561952
rh_chr11_17767859,chr11,17718370
rh_chr11_17987786,chr11,17934661
rh_chr11_18204712,chr11,18151977
rh_chr11_18357178,chr11,18287018
rh_chr11_18433819,chr11,18363711
rh_chr11_1857249,chr11,1856154
rh_chr11_18646367,chr11,18575947
rh_chr11_18708021,chr11,18637454
rh_chr11_18836141,chr11,18765662
rh_chr11_18910740,chr11,18840110
rh_chr11_19533500,chr11,19461779
rh_chr11_19712713,chr11,19637034
rh_chr11_19766239,chr11,19690608
rh_chr11_1985173,chr11,1983126
rh_chr11_19978651,chr11,19897380
rh_chr11_20115217,chr11,20033950
rh_chr11_2065555,chr11,2063472
rh_chr11_2216980,chr11,2214792
rh_chr11_2406678,chr11,2395401
rh_chr11_2515310,chr11,2503919
rh_chr11_255751,chr11,257245
rh_chr11_2610292,chr11,2598430
rh_chr11_2737838,chr11,2725991
rh_chr11_2808288,chr11,2796246
rh_chr11_2977354,chr11,2960390
rh_chr11_3112858,chr11,3096013
rh_chr11_3189542,chr11,3172718
rh_chr11_3263224,chr11,3246322
rh_chr11_3395372,chr11,3378391
rh_chr11_3580540,chr11,3564019
rh_chr11_3749132,chr11,3730392
rh_chr11_3807804,chr11,3789030
rh_chr11_386863,chr11,387888
rh_chr11_3938527,chr11,3919671
rh_chr11_4000176,chr11,3980974
rh_chr11_4081344,chr11,4061697
rh_chr11_4254847,chr11,4232407
rh_chr11_4359180,chr11,4336130
rh_chr11_4501448,chr11,4478182
rh_chr11_46057,chr11,58498
rh_chr11_4657459,chr11,4633023
rh_chr11_4738446,chr11,4714129
rh_chr11_4833197,chr11,4808994
rh_chr11_4899312,chr11,4875568
rh_chr11_5052504,chr11,5028812
rh_chr11_5215446,chr11,5191920
rh_chr11_5357281,chr11,5333614
rh_chr11_542859,chr11,543416
rh_chr11_5465467,chr11,5439222
rh_chr11_5534517,chr11,5506792
rh_chr11_5792931,chr11,5772694
rh_chr11_601198,chr11,601668
rh_chr11_6139019,chr11,6107040
rh_chr11_6276211,chr11,6244302
rh_chr11_6379656,chr11,6339554
rh_chr11_6612094,chr11,6571964
rh_chr11_6821881,chr11,6807552
rh_chr11_691194,chr11,691700
rh_chr11_6956387,chr11,6941339
rh_chr11_7093931,chr11,7078736
rh_chr11_7329819,chr11,7289178
rh_chr11_7449768,chr11,7330780
rh_chr11_7588838,chr11,7508513
rh_chr11_7656746,chr11,7560300
rh_chr11_7713575,chr11,7625578
rh_chr11_803595,chr11,806129
rh_chr11_8109770,chr11,7987064
rh_chr11_8194452,chr11,8071725
rh_chr11_8650142,chr11,8527128
rh_chr11_9648408,chr11,9532010
rh_chr11_9798821,chr11,9659550
rh_chr12_10018038,chr12,10179394
rh_chr12_1089461,chr12,1113511
rh_chr12_1146523,chr12,1170636
rh_chr12_115867,chr12,128828
rh_chr12_1266582,chr12,1289914
rh_chr12_13428533,chr12,13822670
rh_chr12_13578193,chr12,13971918
rh_chr12_1368028,chr12,1392038
rh_chr12_14587489,chr12,15025622
rh_chr12_1524783,chr12,1548197
rh_chr12_15428839,chr12,15870712
rh_chr12_16421448,chr12,16857897
rh_chr12_1709224,chr12,1728851
rh_chr12_17156423,chr12,17594180
rh_chr12_17261181,chr12,17694369
rh_chr12_173874,chr12,186752
rh_chr12_1818274,chr12,1838122
rh_chr12_18628428,chr12,19047256
rh_chr12_18779599,chr12,19198636
rh_chr12_19037725,chr12,19459258
rh_chr12_19467018,chr12,19880775
rh_chr12_19528528,chr12,19943325
rh_chr12_19783710,chr12,20199649
rh_chr12_20018956,chr12,20429029
rh_chr12_20361061,chr12,20776920
rh_chr12_20594460,chr12,21009226
rh_chr12_2066524,chr12,2086046
rh_chr12_20990376,chr12,21423518
rh_chr12_21100305,chr12,21531432
rh_chr12_2121248,chr12,2140884
rh_chr12_21712346,chr12,22145217
rh_chr12_21873473,chr12,22306380
rh_chr12_21952129,chr12,22387009
rh_chr12_22049998,chr12,22484975
rh_chr12_22115627,chr12,22550538
rh_chr12_22200448,chr12,22633344
rh_chr12_22346427,chr12,22780782
rh_chr12_22430141,chr12,22869246
rh_chr12_22516082,chr12,22954056
rh_chr12_22586794,chr12,23024811
rh_chr12_2305412,chr12,2321408
rh_chr12_23364307,chr12,23803170
rh_chr12_23431894,chr12,23870626
rh_chr12_23504918,chr12,23943207
rh_chr12_23572750,chr12,24010997
rh_chr12_23628466,chr12,24064118
rh_chr12_2378838,chr12,2394864
rh_chr12_23834651,chr12,24267374
rh_chr12_23915621,chr12,24348430
rh_chr12_23999415,chr12,24432272
rh_chr12_24104070,chr12,24529050
rh_chr12_2439647,chr12,2456628
rh_chr12_2673100,chr12,2689968
rh_chr12_2966354,chr12,2983676
rh_chr12_3036761,chr12,3054062
rh_chr12_3116725,chr12,3133889
rh_chr12_3218920,chr12,3235593
rh_chr12_3325270,chr12,3341928
rh_chr12_3478868,chr12,3504664
rh_chr12_390468,chr12,414994
rh_chr12_3962172,chr12,3966847
rh_chr12_5074355,chr12,5129156
rh_chr12_5164930,chr12,5219726
rh_chr12_521695,chr12,545930
rh_chr12_5293702,chr12,5346825
rh_chr12_5418237,chr12,5459245
rh_chr12_5533572,chr12,5575222
rh_chr12_5598767,chr12,5640488
rh_chr12_5638,chr12,19164
rh_chr12_5985351,chr12,6026478
rh_chr12_6104436,chr12,6146727
rh_chr12_6184851,chr12,6226592
rh_chr12_6325821,chr12,6367204
rh_chr12_634102,chr12,657823
rh_chr12_6691567,chr12,6732254
rh_chr12_6822792,chr12,6863323
rh_chr12_7053640,chr12,7092042
rh_chr12_7220783,chr12,7259240
rh_chr12_7374050,chr12,7412428
rh_chr12_7525515,chr12,7564804
rh_chr12_8048809,chr12,8204738
rh_chr12_8142405,chr12,8298227
rh_chr12_844914,chr12,868961
rh_chr12_8493396,chr12,8648708
rh_chr12_8801535,chr12,8959728
rh_chr12_8872106,chr12,9030607
rh_chr12_8944870,chr12,9103464
rh_chr12_9605397,chr12,9766566
rh_chr12_9691021,chr12,9852184
rh_chr12_9898269,chr12,10059854
rh_chr12_996164,chr12,1020170
rh_chr13_1211616,chr13,1203820
rh_chr13_12896153,chr13,12511746
rh_chr13_1298235,chr13,1290012
rh_chr13_13390889,chr13,14329304
rh_chr13_13501864,chr13,14434120
rh_chr13_13607473,chr13,14539353
rh_chr13_1426203,chr13,1417934
rh_chr13_14338425,chr13,15240130
rh_chr13_14382284,chr13,15284013
rh_chr13_15056202,chr13,15955158
rh_chr13_15266603,chr13,16164081
rh_chr13_15347566,chr13,16245006
rh_chr13_15736455,chr13,16633930
rh_chr13_15853306,chr13,16750292
rh_chr13_16075743,chr13,16972150
rh_chr13_16250951,chr13,17146390
rh_chr13_16320948,chr13,17215032
rh_chr13_1635674,chr13,1626894
rh_chr13_16754260,chr13,17650905
rh_chr13_16925901,chr13,17821680
rh_chr13_17048700,chr13,17946862
rh_chr13_17540391,chr13,18427574
rh_chr13_1759677,chr13,1749942
rh_chr13_17682842,chr13,18569740
rh_chr13_18218422,chr13,19105346
rh_chr13_18487980,chr13,19375110
rh_chr13_18789364,chr13,19511224
rh_chr13_19058179,chr13,19777788
rh_chr13_19736524,chr13,20679903
rh_chr13_1994792,chr13,1985034
rh_chr13_20576036,chr13,22554710
rh_chr13_20797965,chr13,22335515
rh_chr13_2110146,chr13,2100616
rh_chr13_22005655,chr13,22928922
rh_chr13_22173380,chr13,23095926
rh_chr13_22226946,chr13,23149514
rh_chr13_22281023,chr13,23203604
rh_chr13_2230274,chr13,2221936
rh_chr13_22372308,chr13,23295041
rh_chr13_22435936,chr13,23358362
rh_chr13_22768514,chr13,23687979
rh_chr13_22851098,chr13,23770384
rh_chr13_2381644,chr13,2372892
rh_chr13_24359445,chr13,25282448
rh_chr13_24703210,chr13,25642440
rh_chr13_24958287,chr13,25902820
rh_chr13_25013004,chr13,25957474
rh_chr13_25145371,chr13,26091016
rh_chr13_25280719,chr13,26217027
rh_chr13_2530757,chr13,2515750
rh_chr13_25721137,chr13,26470436
rh_chr13_25788278,chr13,26537580
rh_chr13_2595348,chr13,2581684
rh_chr13_26962710,chr13,27723674
rh_chr13_2714257,chr13,2700657
rh_chr13_27199006,chr13,27955246
rh_chr13_27413917,chr13,28160896
rh_chr13_27586684,chr13,28333499
rh_chr13_27714695,chr13,28463818
rh_chr13_27796053,chr13,28545032
rh_chr13_27884063,chr13,28632578
rh_chr13_27978882,chr13,28727370
rh_chr13_28033719,chr13,28782288
rh_chr13_28096981,chr13,28840133
rh_chr13_28631883,chr13,29377384
rh_chr13_28689372,chr13,29434999
rh_chr13_28775418,chr13,29522445
rh_chr13_2882630,chr13,2868548
rh_chr13_28855433,chr13,29613538
rh_chr13_28928847,chr13,29680378
rh_chr13_29070085,chr13,29822464
rh_chr13_2994658,chr13,2983020
rh_chr13_305162,chr13,313575
rh_chr13_3148270,chr13,3134955
rh_chr13_3257266,chr13,3243969
rh_chr13_3335044,chr13,3321622
rh_chr13_3469326,chr13,3456375
rh_chr13_3578143,chr13,3565640
rh_chr13_3640676,chr13,3628278
rh_chr13_3748786,chr13,3736448
rh_chr13_3813814,chr13,3801346
rh_chr13_393712,chr13,402090
rh_chr13_4021260,chr13,4004684
rh_chr13_507206,chr13,514340
rh_chr13_5238141,chr13,5219004
rh_chr13_5314918,chr13,5295609
rh_chr13_54877,chr13,72630
rh_chr13_5493926,chr13,5473681
rh_chr13_5625117,chr13,5604934
rh_chr13_5766649,chr13,5745709
rh_chr13_5863106,chr13,5842062
rh_chr13_5949531,chr13,5928524
rh_chr13_6033227,chr13,6013381
rh_chr13_6119963,chr13,6099842
rh_chr13_6402644,chr13,6383008
rh_chr13_6540716,chr13,6522139
rh_chr13_6660218,chr13,6642154
rh_chr13_6867117,chr13,6847592
rh_chr13_688776,chr13,695852
rh_chr13_6988041,chr13,6968312
rh_chr13_7054877,chr13,7034582
rh_chr13_7182717,chr13,7162404
rh_chr13_7620093,chr13,7763458
rh_chr13_7734187,chr13,7877082
rh_chr13_7923799,chr13,8128782
rh_chr13_8083875,chr13,8288752
rh_chr13_8192631,chr13,8396085
rh_chr13_8308812,chr13,8505146
rh_chr13_8471812,chr13,8668129
rh_chr13_851910,chr13,859008
rh_chr13_8681863,chr13,8876222
rh_chr13_8898279,chr13,9096459
rh_chr13_9125164,chr13,9323070
rh_chr13_965334,chr13,972230
rh_chr14_10135191,chr14,10130694
rh_chr14_10197424,chr14,10192840
rh_chr14_10290455,chr14,10285660
rh_chr14_10528514,chr14,10520569
rh_chr14_10743715,chr14,10735890
rh_chr14_1101250,chr14,1164704
rh_chr14_1159858,chr14,1223340
rh_chr14_11677439,chr14,11641431
rh_chr14_1242694,chr14,1305628
rh_chr14_12584178,chr14,12542190
rh_chr14_12730584,chr14,12688718
rh_chr14_13086548,chr14,13033260
rh_chr14_1309053,chr14,1372168
rh_chr14_13171276,chr14,13117958
rh_chr14_13378081,chr14,13323684
rh_chr14_14138039,chr14,14079856
rh_chr14_14229668,chr14,14162792
rh_chr14_14755965,chr14,14686752
rh_chr14_14863028,chr14,14793169
rh_chr14_1509565,chr14,1571776
rh_chr14_15714242,chr14,15637071
rh_chr14_15875843,chr14,15799162
rh_chr14_1593532,chr14,1656561
rh_chr14_16000806,chr14,15923047
rh_chr14_16067239,chr14,15989398
rh_chr14_16253640,chr14,16175824
rh_chr14_16490288,chr14,16409950
rh_chr14_16652730,chr14,16579074
rh_chr14_17077376,chr14,17010258
rh_chr14_1714481,chr14,1776758
rh_chr14_17379596,chr14,17304494
rh_chr14_17450562,chr14,17374878
rh_chr14_17873209,chr14,17796526
rh_chr14_17999822,chr14,17921800
rh_chr14_1806350,chr14,1868594
rh_chr14_18215931,chr14,18141694
rh_chr14_18508828,chr14,18435214
rh_chr14_18776215,chr14,18702622
rh_chr14_18868775,chr14,18794822
rh_chr14_19103240,chr14,19029590
rh_chr14_19325226,chr14,19264040
rh_chr14_19429359,chr14,19367812
rh_chr14_19587909,chr14,19526249
rh_chr14_19715337,chr14,19653444
rh_chr14_20102426,chr14,20026250
rh_chr14_20174098,chr14,20098008
rh_chr14_2055250,chr14,2117444
rh_chr14_20629301,chr14,20548588
rh_chr14_20733951,chr14,20652400
rh_chr14_20859566,chr14,20777382
rh_chr14_21019303,chr14,20941624
rh_chr14_21080144,chr14,21002332
rh_chr14_21323785,chr14,21244876
rh_chr14_21577640,chr14,21500712
rh_chr14_21740224,chr14,21665057
rh_chr14_21821143,chr14,21745860
rh_chr14_21885849,chr14,21811202
rh_chr14_22118159,chr14,22038977
rh_chr14_22405745,chr14,22328164
rh_chr14_22568886,chr14,22491505
rh_chr14_22696262,chr14,22618852
rh_chr14_22889555,chr14,22806428
rh_chr14_22993902,chr14,22910823
rh_chr14_23056941,chr14,22973852
rh_chr14_23135090,chr14,23051896
rh_chr14_23255429,chr14,23172151
rh_chr14_23376067,chr14,23292228
rh_chr14_23452906,chr14,23368976
rh_chr14_23566639,chr14,23473181
rh_chr14_23657569,chr14,23563226
rh_chr14_23928157,chr14,23838653
rh_chr14_24137881,chr14,24046994
rh_chr14_24366988,chr14,24273194
rh_chr14_24462111,chr14,24367374
rh_chr14_24536812,chr14,24444088
rh_chr14_24617329,chr14,24524678
rh_chr14_24753252,chr14,24660339
rh_chr14_25156315,chr14,25063212
rh_chr14_25292543,chr14,25199498
rh_chr14_25365836,chr14,25271928
rh_chr14_25499021,chr14,25405566
rh_chr14_25568672,chr14,25475218
rh_chr14_257360,chr14,326588
rh_chr14_25763085,chr14,25668877
rh_chr14_25974508,chr14,26189262
rh_chr14_26071578,chr14,26286342
rh_chr14_26224717,chr14,26439461
rh_chr14_26404940,chr14,26618840
rh_chr14_26687062,chr14,26909664
rh_chr14_2673527,chr14,2727208
rh_chr14_26802285,chr14,27024496
rh_chr14_26877597,chr14,27099822
rh_chr14_26987507,chr14,27206340
rh_chr14_27088319,chr14,27304600
rh_chr14_27199117,chr14,27418969
rh_chr14_27294117,chr14,27514144
rh_chr14_2736359,chr14,2789794
rh_chr14_27425134,chr14,27645233
rh_chr14_27607541,chr14,27821111
rh_chr14_27729833,chr14,27943264
rh_chr14_27856994,chr14,28070314
rh_chr14_27926007,chr14,28139154
rh_chr14_28052199,chr14,28265375
rh_chr14_28292032,chr14,28504114
rh_chr14_28371145,chr14,28581878
rh_chr14_28521701,chr14,28731776
rh_chr14_28627512,chr14,28837530
rh_chr14_28696564,chr14,28906876
rh_chr14_28947831,chr14,29156567
rh_chr14_29138298,chr14,29347718
rh_chr14_29234849,chr14,29443813
rh_chr14_29335601,chr14,29543220
rh_chr14_29446606,chr14,29655717
rh_chr14_29574449,chr14,29782845
rh_chr14_29774895,chr14,29982096
rh_chr14_29979493,chr14,30176005
rh_chr14_30126656,chr14,30323100
rh_chr14_30203422,chr14,30399516
rh_chr14_3027635,chr14,3080666
rh_chr14_3099967,chr14,3152912
rh_chr14_3183108,chr14,3236113
rh_chr14_3303300,chr14,3356364
rh_chr14_3479410,chr14,3531902
rh_chr14_3580604,chr14,3617194
rh_chr14_360989,chr14,430052
rh_chr14_4228742,chr14,4258863
rh_chr14_4331688,chr14,4361608
rh_chr14_434513,chr14,499346
rh_chr14_4725743,chr14,4757872
rh_chr14_4805213,chr14,4837272
rh_chr14_4941220,chr14,4959128
rh_chr14_5687927,chr14,5708546
rh_chr14_594524,chr14,658362
rh_chr14_5966808,chr14,5971190
rh_chr14_6141335,chr14,6144616
rh_chr14_6208302,chr14,6211567
rh_chr14_6365842,chr14,6369694
rh_chr14_6495285,chr14,6496347
rh_chr14_6637137,chr14,6637773
rh_chr14_6768198,chr14,6768725
rh_chr14_6974992,chr14,6975868
rh_chr14_7174167,chr14,7175954
rh_chr14_726317,chr14,789831
rh_chr14_7296877,chr14,7298679
rh_chr14_7424804,chr14,7425764
rh_chr14_7510359,chr14,7506636
rh_chr14_7624685,chr14,7621768
rh_chr14_7715530,chr14,7712622
rh_chr14_7777740,chr14,7769443
rh_chr14_8308158,chr14,8299469
rh_chr14_836379,chr14,899666
rh_chr14_88562,chr14,159833
rh_chr14_8871788,chr14,8861016
rh_chr14_9896368,chr14,9892534
rh_chr14_994202,chr14,1057652
rh_chr15_10257839,chr15,13272640
rh_chr15_10407188,chr15,13421734
rh_chr15_10773666,chr15,13785606
rh_chr15_10851058,chr15,13863066
rh_chr15_1096801,chr15,1149664
rh_chr15_10990214,chr15,14002198
rh_chr15_11204418,chr15,14222873
rh_chr15_11421844,chr15,14437113
rh_chr15_11503363,chr15,14518086
rh_chr15_11792802,chr15,14807777
rh_chr15_12253375,chr15,15266430
rh_chr15_12844486,chr15,15877320
rh_chr15_13063122,chr15,16094637
rh_chr15_13642456,chr15,16664885
rh_chr15_13698923,chr15,16721438
rh_chr15_13822901,chr15,16845038
rh_chr15_14360708,chr15,17380574
rh_chr15_15160259,chr15,18178276
rh_chr15_15294725,chr15,18312686
rh_chr15_15355400,chr15,18373292
rh_chr15_15468122,chr15,18483510
rh_chr15_1547883,chr15,1601335
rh_chr15_15543151,chr15,18558320
rh_chr15_15843448,chr15,18859032
rh_chr15_15944126,chr15,18959710
rh_chr15_16000117,chr15,19016058
rh_chr15_16066225,chr15,19082162
rh_chr15_16221824,chr15,19239210
rh_chr15_16450847,chr15,19477957
rh_chr15_16551845,chr15,19578822
rh_chr15_16667790,chr15,19695792
rh_chr15_16737213,chr15,19765214
rh_chr15_16810432,chr15,19832824
rh_chr15_17076337,chr15,20099972
rh_chr15_17146098,chr15,20404669
rh_chr15_17224145,chr15,20482528
rh_chr15_17313670,chr15,20571933
rh_chr15_17418514,chr15,20676403
rh_chr15_177997,chr15,224806
rh_chr15_17991582,chr15,21245150
rh_chr15_18072427,chr15,21325942
rh_chr15_18166857,chr15,21420306
rh_chr15_18318476,chr15,21567912
rh_chr15_18408364,chr15,21657178
